AAAP, 4
Symbol,Date,Open,High,Low,Close,Volume
AAAP,27 Jun 2017,38.5,39.03,37.67,37.69,26800
AAAP,28 Jun 2017,37.91,39.09,37.91,39.09,26800
AAAP,29 Jun 2017,39.33,39.33,38.73,38.81,31200
AAAP,30 Jun 2017,39.11,39.38,38.67,39.04,46200
AAAP,03 Jul 2017,39.39,39.39,37.63,39.17,14900
AAAP,04 Jul 2017,39.17,39.17,39.17,39.17,0
AAAP,05 Jul 2017,39.1,39.13,38.37,38.94,110100
AAAP,06 Jul 2017,38.65,38.91,38.19,38.8,96400
AAAP,07 Jul 2017,38.55,38.72,38.3,38.43,68800
AAAP,10 Jul 2017,38.66,39.67,38.29,39.49,159400
AAAP,11 Jul 2017,39.07,39.69,39.06,39.69,55400
AAAP,12 Jul 2017,39.96,41.39,39.81,40.43,256700
AAAP,13 Jul 2017,40.43,40.82,39,40.12,310900
AAAP,14 Jul 2017,39.93,40.51,39.57,39.88,103400
AAAP,17 Jul 2017,39.99,40.3,39.56,39.86,50700
AAAP,18 Jul 2017,39.85,40.16,39.15,39.84,28500
AAAP,19 Jul 2017,39.83,40.82,39.78,40.57,34600
AAAP,20 Jul 2017,40.93,41.39,40,41.13,118400
AAAP,21 Jul 2017,41.51,41.59,40.56,41.39,79900
AAAP,24 Jul 2017,41.3,43.5,40.83,42.67,87800
AAAP,25 Jul 2017,42.21,42.41,40,41.85,82900
AAAP,26 Jul 2017,41.9,42.49,40.08,42.49,44100
AAAP,27 Jul 2017,42.69,42.69,40.955,42.34,79800
AAAP,28 Jul 2017,42.52,47.63,42.27,47.2,142600
AAAP,31 Jul 2017,47.4,48.97,47.04,47.99,145600
AAAP,01 Aug 2017,47.99,51.02,47.99,50.98,165400
AAAP,02 Aug 2017,50.17,50.59,48,48.06,102800
AAAP,03 Aug 2017,47.7,49.22,47.7,48.95,124800
AAAP,04 Aug 2017,49.33,49.69,49.03,49.12,43600
AAAP,07 Aug 2017,49.89,49.89,48.78,49.61,81800
AAAP,08 Aug 2017,49,49.63,48.255,48.61,48400
AAAP,09 Aug 2017,48.2,50,48.2,50,66300
AAAP,10 Aug 2017,50,50,48.58,48.76,71300
AAAP,11 Aug 2017,49,49.17,48.17,48.91,18100
AAAP,14 Aug 2017,49.65,49.94,48.515,49.25,58700
AAAP,15 Aug 2017,49.25,49.76,49.2,49.25,31900
