date,close,volume,open,high,low
msft daily, 1
2017/02/07,63.4300,20271020.0000,63.7400,63.7800,63.2300
2017/02/06,63.6400,19776560.0000,63.5000,63.6500,63.1400
2017/02/03,63.6800,30288330.0000,63.5000,63.7000,63.0700
2017/02/02,63.1700,45820410.0000,63.2500,63.4100,62.7500
2017/02/01,63.5800,39650890.0000,64.3550,64.6200,63.4700
2017/01/31,64.6500,25258900.0000,64.8600,65.1500,64.2600
2017/01/30,65.1300,31627120.0000,65.6900,65.7900,64.8000
2017/01/27,65.7800,44806710.0000,65.3900,65.9100,64.8900
2017/01/26,64.2700,42688490.0000,64.1200,64.5350,63.5500
2017/01/25,63.6800,24480930.0000,63.9500,64.1000,63.4500
2017/01/24,63.5200,24647260.0000,63.2000,63.7350,62.9400
2017/01/23,62.9600,23055910.0000,62.7000,63.1159,62.5700
2017/01/20,62.7400,30067740.0000,62.6700,62.8200,62.3700
2017/01/19,62.3000,18438530.0000,62.2400,62.9800,62.1950
2017/01/18,62.5000,19666750.0000,62.6700,62.7000,62.1200
2017/01/17,62.5300,20662940.0000,62.6800,62.7000,62.0300
2017/01/13,62.7000,19421370.0000,62.6200,62.8650,62.3500
2017/01/12,62.6100,20965490.0000,63.0600,63.4000,61.9500
2017/01/11,63.1900,21503740.0000,62.6100,63.2300,62.4300
2017/01/10,62.6200,18587170.0000,62.7300,63.0700,62.2800
2017/01/09,62.6400,20374410.0000,62.7600,63.0800,62.5400
2017/01/06,62.8400,19899270.0000,62.3000,63.1500,62.0400
2017/01/05,62.3000,24866880.0000,62.1900,62.6600,62.0300
2017/01/04,62.3000,21325140.0000,62.4800,62.7500,62.1200
2017/01/03,62.5800,20655190.0000,62.7900,62.8400,62.1250
2016/12/30,62.1400,25575720.0000,62.9600,62.9900,62.0300
2016/12/29,62.9000,10248460.0000,62.8600,63.2000,62.7300
2016/12/28,62.9900,14348340.0000,63.4000,63.4000,62.8300
2016/12/27,63.2800,11743650.0000,63.2100,64.0700,63.2100
2016/12/23,63.2400,12399540.0000,63.4500,63.5400,62.8000
2016/12/22,63.5500,22175270.0000,63.8400,64.1000,63.4050
2016/12/21,63.5400,17084370.0000,63.4300,63.7000,63.1200
2016/12/20,63.5400,26017470.0000,63.6900,63.8000,63.0250
2016/12/19,63.6200,34318500.0000,62.5600,63.7700,62.4200
