coke, 2
date,close,volume,open,high,low
2017/01/13,170.1000,24570.0000,168.7000,170.1400,167.8000
2017/01/12,169.3000,17057.0000,170.5200,170.5200,168.3700
2017/01/11,170.9200,20980.0000,171.0000,171.0800,169.7700
2017/01/10,171.7300,27305.0000,172.3900,173.0100,170.1500
2017/01/09,173.1700,35326.0000,177.0000,177.0000,172.3000
2017/01/06,177.2100,21781.0000,178.8800,179.6000,176.0100
2017/01/05,179.3000,20840.0000,180.0100,180.9999,178.0100
2017/01/04,179.9600,17909.0000,179.8900,181.0000,176.0700
2017/01/03,179.7000,31525.0000,178.7200,180.7400,174.6000
2016/12/30,178.8500,30430.0000,178.2700,179.9000,177.2000
2016/12/29,179.0500,25733.0000,177.8000,180.7000,177.8000
2016/12/28,178.7000,24004.0000,179.2300,180.0600,177.6300
2016/12/27,179.0800,47313.0000,178.3100,182.2600,178.0100
2016/12/23,177.5600,18639.0000,174.0000,178.0500,174.0000
2016/12/22,174.6700,25495.0000,176.2700,176.2700,172.6600
2016/12/21,177.2100,33823.0000,178.1200,179.4100,176.0600
2016/12/20,178.5200,43656.0000,173.0100,179.3500,173.0100
2016/12/19,173.6000,27162.0000,174.4800,175.5700,173.5200
2016/12/16,174.0600,42783.0000,172.8700,174.7400,171.1700
2016/12/15,171.6600,33542.0000,167.9800,172.4100,167.1000
2016/12/14,167.7200,39876.0000,166.7800,168.4300,165.5201
2016/12/13,167.1600,32946.0000,167.2000,168.2400,166.0101
2016/12/12,167.3300,29856.0000,166.9700,167.3800,165.2200
2016/12/09,167.1500,68016.0000,162.4800,167.5400,161.5900
2016/12/08,161.9100,31117.0000,161.7800,162.8500,160.4000
2016/12/07,162.0300,51247.0000,159.5800,162.0600,159.5800
2016/12/06,159.7200,23983.0000,160.4800,161.3500,159.2700
2016/12/05,160.0200,28422.0000,157.7800,160.7500,157.7800
2016/12/02,157.6200,19529.0000,159.1400,162.3200,157.2100
2016/12/01,159.0100,32735.0000,161.5300,165.9000,157.8600
2016/11/30,161.7800,39190.0000,165.8100,166.4575,161.3900
2016/11/29,165.0600,56330.0000,166.8600,167.3013,163.3000
2016/11/28,166.1500,31203.0000,166.1200,167.4400,165.2700
2016/11/25,165.8600,13776.0000,165.0200,166.8700,163.6440
2016/11/23,164.7300,27369.0000,165.4700,168.5510,164.0454
2016/11/22,165.0200,74965.0000,165.1400,168.9400,164.5900
2016/11/21,164.9000,23857.0000,164.8400,165.7600,164.5300
2016/11/18,165.4400,29717.0000,164.3700,166.1200,164.2500
2016/11/17,164.9700,27071.0000,164.6400,165.0500,162.9710
2016/11/16,165.3200,27495.0000,164.9600,165.8700,164.2100
2016/11/15,164.6000,44436.0000,165.2200,166.3300,162.8733
2016/11/14,164.9800,68300.0000,167.5000,168.1012,162.6900
2016/11/11,167.4800,83619.0000,158.2000,169.5800,158.2000
2016/11/10,160.4900,68959.0000,155.8400,160.8700,153.9400
2016/11/09,157.8100,254276.0000,128.0000,157.9700,125.0010
2016/11/08,141.2700,34308.0000,139.1000,143.5304,139.1000
2016/11/07,140.3700,57482.0000,140.5600,141.4900,139.7700
2016/11/04,140.5600,35511.0000,141.7400,142.5000,140.0900
2016/11/03,141.3800,34320.0000,142.0100,142.2000,141.0000
2016/11/02,142.7200,43964.0000,140.9400,143.1100,140.1410
2016/11/01,141.4100,35561.0000,141.9100,142.9200,140.6400
2016/10/31,141.3000,62655.0000,145.0900,145.0900,141.2500
2016/10/28,145.0900,86879.0000,141.5200,145.4200,141.5200
2016/10/27,141.5600,103943.0000,144.8400,145.0400,140.7109
2016/10/26,144.4700,46818.0000,145.7900,146.9750,144.0800
2016/10/25,145.3400,27237.0000,144.9400,145.9100,144.2820
2016/10/24,144.5600,25877.0000,144.5490,144.6300,143.1800
2016/10/21,143.1600,29303.0000,143.2400,143.3400,141.7400
2016/10/20,142.8900,35834.0000,143.2800,144.7900,142.6500
2016/10/19,143.9800,43758.0000,141.8900,144.4300,141.1100
2016/10/18,142.4000,35567.0000,142.0000,143.6600,140.0001
2016/10/17,141.2300,26788.0000,140.1000,142.2400,140.0000
2016/10/14,140.3500,31579.0000,142.2000,142.2000,139.9600
2016/10/13,141.8700,56518.0000,142.0700,142.8200,140.8900
2016/10/12,141.7900,92487.0000,139.3900,142.7900,137.2200
2016/10/11,140.3000,59648.0000,141.7600,142.8000,138.6000
2016/10/10,141.5800,85890.0000,141.3500,143.6850,140.7350
2016/10/07,141.4700,99537.0000,142.4600,143.3000,140.7855
2016/10/06,142.5000,94226.0000,141.5300,143.4100,140.5100
2016/10/05,141.4400,284030.0000,144.2900,144.6400,140.0700
2016/10/04,143.4900,59683.0000,145.6000,146.4000,142.5300
2016/10/03,145.1200,72715.0000,147.5200,147.5850,144.3300
2016/09/30,148.1600,115949.0000,143.2000,149.2550,142.6900
2016/09/29,143.4100,40293.0000,146.6500,147.0046,143.3350
2016/09/28,146.1300,59043.0000,147.8800,149.5450,145.0400
2016/09/27,148.1900,86960.0000,144.0000,148.3700,144.0000
2016/09/26,144.5000,60187.0000,148.1800,148.1800,144.3000
2016/09/23,148.5200,35185.0000,151.0100,151.0100,148.4600
2016/09/22,150.5300,92357.0000,145.9100,151.6050,145.9100
2016/09/21,145.9500,57008.0000,146.0000,147.2999,145.1100
2016/09/20,145.7300,66670.0000,145.5900,146.7000,144.6600
2016/09/19,144.6400,42633.0000,143.5000,146.0000,143.5000
2016/09/16,143.8500,74762.0000,146.5200,146.5200,143.0310
2016/09/15,146.4000,37972.0000,146.1700,146.9100,145.6300
2016/09/14,146.1800,30687.0000,147.7500,148.8899,146.1200
2016/09/13,147.1500,60106.0000,149.0000,150.0237,146.4650
2016/09/12,149.8000,132587.0000,149.3500,151.2300,148.7600
2016/09/09,149.2100,101763.0000,150.8800,151.9000,149.0800
2016/09/08,151.6300,88991.0000,153.8800,155.2850,151.3800
2016/09/07,154.6200,107484.0000,153.9400,156.8600,152.9600
2016/09/06,153.7200,40892.0000,154.5900,154.8100,152.1830
2016/09/02,153.8300,83296.0000,152.7000,154.2900,151.8700
2016/09/01,152.6500,52143.0000,149.9000,152.6500,149.9000
2016/08/31,150.3000,52635.0000,151.0900,151.0900,149.8350
2016/08/30,150.5200,53283.0000,150.6200,151.7000,149.5500
2016/08/29,150.2600,53571.0000,150.4700,152.7413,150.0000
2016/08/26,151.3400,64962.0000,152.2400,153.6827,149.9600
2016/08/25,152.5600,48504.0000,151.0000,153.7699,151.0000
2016/08/24,151.7100,42485.0000,153.3600,153.9710,151.0300
2016/08/23,153.0200,76649.0000,149.7200,154.7900,149.5900
2016/08/22,150.0400,64548.0000,150.8600,151.8369,149.3000
2016/08/19,151.2600,30778.0000,152.4500,155.5050,150.7000
2016/08/18,152.7600,72730.0000,152.3100,154.3899,151.3900
2016/08/17,151.7000,61799.0000,152.7700,152.9090,150.0100
2016/08/16,153.9600,54352.0000,157.1100,158.2200,153.6200
2016/08/15,158.0000,68320.0000,158.1300,161.4400,156.6500
2016/08/12,156.5000,84629.0000,151.8000,158.4600,151.8000
2016/08/11,152.2500,108498.0000,153.1100,154.2000,151.6800
2016/08/10,153.5000,205985.0000,142.2100,160.8000,141.5600
2016/08/09,141.5300,48013.0000,141.8200,143.3700,141.0700
2016/08/08,141.5600,29114.0000,142.2200,142.4450,140.5100
2016/08/05,142.3500,44028.0000,142.9400,144.0450,141.9000
2016/08/04,142.2700,36005.0000,143.2300,144.0000,141.2980
2016/08/03,142.4200,56930.0000,142.5000,143.9300,140.4600
2016/08/02,142.6000,109034.0000,145.1100,146.2290,142.0700
2016/08/01,144.5100,85272.0000,141.8200,145.2300,140.7300
2016/07/29,142.4100,205977.0000,144.3500,145.8200,140.1000
2016/07/28,143.9400,88648.0000,141.7300,144.2000,141.3200
2016/07/27,141.7300,181083.0000,147.0000,147.5800,140.1000
2016/07/26,147.6200,50666.0000,148.6700,149.2337,147.0300
2016/07/25,148.4300,37293.0000,150.1100,151.5790,147.3849
2016/07/22,149.3000,57920.0000,146.9900,151.2799,146.9400
2016/07/21,147.0600,71227.0000,147.8700,148.6500,145.5000
2016/07/20,148.6100,156992.0000,146.5800,152.2600,145.1000
2016/07/19,146.3700,92293.0000,143.8600,147.9100,143.5400
2016/07/18,144.6900,128518.0000,144.0900,144.9900,141.5300
2016/07/15,144.1100,162359.0000,146.3800,147.2700,142.8250
2016/07/14,146.3800,136574.0000,147.4200,148.7500,145.1600
